,Normal Error Percents,CKKS Error Percents
-10,103.248450926029,103.24857722392065
-20,106.59563104258211,106.59587857267906
-30,110.04433530624134,110.04472744962221
-40,113.59743199740822,113.59796895622318
-50,117.25786449236986,117.2585418290488
-60,121.02865307454451,121.02948380868852
-70,124.91289678569191,124.91388076702854
-80,128.91377531788865,128.91493086262824
-90,133.0345509470836,133.03592857127015
-100,137.2785705090612,137.2800471890078
-110,141.64926741865804,141.65093783444948
-120,146.1501637330903,146.1520018914072
-130,150.7848722602675,150.78689600520264
-140,155.55709871298185,155.5596137852702
-150,160.47064390987873,160.47307467460706
-160,165.5294060241309,165.53204215523104
-170,170.7373828807533,170.74024972678373
-180,176.09867430351446,176.10191867919207
-190,181.6174845124144,181.62085681411867
-200,187.29812457271925,187.30184439750084
-210,193.14501489655743,193.14888980264305
-220,199.16268779810062,199.1668099657135
-230,205.35579010337295,205.36019553564282
-240,211.729085815745,211.7337620981163
-250,218.28745883819346,218.29245533166778
-260,225.03591575342261,225.04114263023598
-270,231.97958866296088,231.98519401470978
-280,239.12373808637324,239.1296296405559
-290,246.47375592173776,246.4798540228929
-300,254.0351684685672,254.04169016259917
-310,261.81363951436475,261.82054226434207
-320,269.81497348603546,269.8221694640715
-330,278.0451186673844,278.05300151575295
-340,286.51017048396295,286.51831750409144
-350,295.2163748565407,295.22483741090565
-360,304.1701316245035,304.1791677124746
-370,313.37799804050076,313.3873152200939
-380,322.84669233769046,322.85637132822364
-390,332.58309737094476,332.5935911895073
-400,342.5942643334132,342.60495384689375
-410,352.88741654985427,352.89865105279205
-420,363.4699533481782,363.48134281379606
-430,374.3494540106598,374.36167198495866
-440,385.53368180631355,385.54642346214393
-450,397.03058810593984,397.0438874054758
-460,408.8483165813832,408.86231654626266
-470,420.9952074905642,421.00991046712784
-480,433.47980204987675,433.4947674173466
-490,446.31084689556377,446.3264837010815
-500,459.49729863572185,459.5135930933801
-510,473.0483284945924,473.0652759831438
-520,486.9733270508524,486.99095065469214
-530,501.28190907161934,501.3005621227762
-540,515.983918443932,516.0030048563974
-550,531.0894332054825,531.1092048483206
-560,546.6087706764275,546.6294938583103
-570,562.5524926940996,562.5739255283395
-580,578.9314109525137,578.9535908509562
-590,595.756592448553,595.7796301625701
-600,613.0393650367887,613.063570188656
-610,630.7913230948702,630.816388950192
-620,649.0243333015258,649.0504837230583
-630,667.7505405291524,667.7771224578223
-640,686.9823738531151,687.0096650540592
-650,706.7325526797923,706.7611846067476
-660,727.0140929955598,727.043765455186
-670,747.8403137388107,747.8707424414158
-680,769.2248432972873,769.257716229925
-690,791.1816261328785,791.2145700465805
-700,813.7249295362304,813.7588237673983
-710,836.869350513407,836.9046391662739
-720,860.6298228070125,860.666308094761
-730,885.0216240540957,885.0597662487834
-740,910.0603830832947,910.099384291519
-750,935.7620873536673,935.8027825209374
-760,962.1430905377022,962.1846699327415
-770,989.2201202510487,989.2632444284695
-780,1017.0102859315405,1017.0550463744908
-790,1045.531086870135,1045.5765213390207
-800,1074.8004203964165,1074.8480789384428
-810,1104.8365902213689,1104.8858029365592
-820,1135.6583149401717,1135.7088762478072
-830,1167.2847366977694,1167.3372115974144
-840,1199.7354300200961,1199.7894937056835
-850,1233.030410813767,1233.0868751186579
-860,1267.190145537214,1267.248007294247
-870,1302.2355605461767,1302.2953633540378
-880,1338.1880516166013,1338.2495862096737
-890,1375.0694936479658,1375.132789821247
-900,1412.9022505501584,1412.9677264026084
-910,1451.7091853170632,1451.7765804932008
-920,1491.5136702900227,1491.5833399459714
-930,1532.3395976144643,1532.4114367737907
-940,1574.2113898929563,1574.285751501959
-950,1617.1540110380693,1617.2304794627323
-960,1661.1929773284253,1661.2717489480335
-970,1706.3543686713956,1706.4347513655082
-980,1752.664840075951,1752.7484429135832
-990,1800.151633339216,1800.2380430404792
-1000,1848.8425889503642,1848.9317111696018
-1010,1898.7661582154824,1898.8578748034047
-1020,1949.951415607168,1950.0458304521053
-1030,2002.4280713426144,2002.525431334568
